fecha,cierre,ticker
2020-09-07,6270,AL30
2020-09-08,6320,AL30
2020-09-09,6377,AL30
2020-09-10,6415,AL30
2020-09-11,6401,AL30
2020-09-14,6391,AL30
2020-09-15,6235,AL30
2020-09-16,6120,AL30
2020-09-17,5925,AL30
2020-09-18,6110,AL30
2020-09-21,6041,AL30
2020-09-22,6100,AL30
2020-09-23,6270,AL30
2020-09-24,6020,AL30
2020-09-25,6115,AL30
2020-09-28,6165,AL30
2020-09-29,6200,AL30
2020-09-30,6190,AL30
2020-10-01,6215,AL30
2020-10-02,6120,AL30
2020-10-05,6251,AL30
2020-10-06,6230,AL30
2020-10-07,6226,AL30
2020-10-08,6300,AL30
2020-10-09,6415,AL30
2020-10-13,6485,AL30
2020-10-14,6680,AL30
2020-10-15,6880.5,AL30
2020-10-16,6720,AL30
2020-10-19,6650,AL30
2020-10-20,6659,AL30
2020-10-21,6555,AL30
2020-10-22,6540,AL30
2020-10-23,6230,AL30
2020-10-26,6010,AL30
2020-10-27,6000,AL30
2020-10-28,5620,AL30
2020-10-29,5580,AL30
2020-10-30,5450,AL30
2020-11-02,5380,AL30
2020-11-03,5380,AL30
2020-11-04,5365,AL30
2020-11-05,5390,AL30
2020-11-06,5380,AL30
2020-11-09,5445,AL30
2020-11-10,5431,AL30
2020-11-11,5705,AL30
2020-11-12,5585,AL30
2020-11-13,5635,AL30
2020-11-16,5750,AL30
2020-11-17,5790,AL30
2020-11-18,5800,AL30
2020-11-19,5777.5,AL30
2020-11-20,5747,AL30
2020-11-24,5745,AL30
2020-11-25,5750,AL30
2020-11-26,5717,AL30
2020-11-27,5674,AL30
2020-11-30,5581,AL30
2020-12-01,5568,AL30
2020-12-02,5579.5,AL30
2020-12-03,5450,AL30
2020-12-04,5483,AL30
2020-12-09,5457,AL30
2020-12-10,5483,AL30
2020-12-11,5570,AL30
2020-12-14,5658,AL30
2020-12-15,5677,AL30
2020-12-16,5619.5,AL30
2020-12-17,5609,AL30
2020-12-18,5660,AL30
2020-12-21,5655,AL30
2020-12-22,5701,AL30
2020-12-23,5701,AL30
2020-12-28,5726,AL30
2020-12-29,5732,AL30
2020-12-30,5731,AL30
2021-01-04,5771,AL30
2021-01-05,5778,AL30
2021-01-06,5790,AL30
2021-01-07,5768,AL30
2021-01-08,5730,AL30
2021-01-11,5692,AL30
2021-01-12,5660,AL30
2021-01-13,5641,AL30
2021-01-14,5635,AL30
2021-01-15,5625,AL30
2021-01-18,5640,AL30
2021-01-19,5643,AL30
2021-01-20,5645,AL30
2021-01-21,5647,AL30
2021-01-22,5644,AL30
2021-01-25,5656,AL30
2021-01-26,5667,AL30
2021-01-27,5664,AL30
2021-01-28,5660,AL30
2021-01-29,5640,AL30
2021-02-01,5650,AL30
2021-02-02,5651,AL30
2021-02-03,5642,AL30
2021-02-04,5640,AL30
2021-02-05,5628,AL30
2021-02-08,5628,AL30
2021-02-09,5628,AL30
2021-02-10,5608,AL30
2021-02-11,5490,AL30
2021-02-12,5382,AL30
2021-02-17,5185,AL30
2021-02-18,5210,AL30
2021-02-19,5090,AL30
2021-02-22,5045,AL30
2021-02-23,5000,AL30
2021-02-24,5085,AL30
2021-02-25,5176,AL30
2021-02-26,5220,AL30
2021-03-01,5289,AL30
2021-03-02,5303,AL30
2021-03-03,5292,AL30
2021-03-04,5279,AL30
2021-03-05,5215,AL30
2021-03-08,5215,AL30
2021-03-09,5109,AL30
2021-03-10,4840,AL30
2021-03-11,4860,AL30
2021-03-12,4981,AL30
2021-03-15,5055,AL30
2021-03-16,5119,AL30
2021-03-17,5201,AL30
2021-03-18,5183.5,AL30
2021-03-19,5172.5,AL30
2021-03-22,5212,AL30
2021-03-23,5140,AL30
2021-03-25,4992,AL30
2021-03-26,4890,AL30
2021-03-29,4801,AL30
2021-03-30,4814,AL30
2021-03-31,4841.5,AL30
2021-04-05,4942,AL30
2021-04-06,4975,AL30
2021-04-07,4970,AL30
2021-04-08,4975,AL30
2021-04-09,4935,AL30
2021-04-12,4974,AL30
2021-04-13,4972,AL30
2021-04-14,4971,AL30
2021-04-15,4920,AL30
2021-04-16,4915,AL30
2021-04-19,4962,AL30
2021-04-20,5000,AL30
2021-04-21,4996,AL30
2021-04-22,5001,AL30
2021-04-23,5077,AL30
2021-04-26,5240,AL30
2021-04-27,5340,AL30
2021-04-28,5366,AL30
2021-04-29,5362,AL30
2021-04-30,5351,AL30
2021-05-03,5381,AL30
2021-05-04,5385,AL30
2021-05-05,5390,AL30
2021-05-06,5365,AL30
2021-05-07,5296,AL30
2021-05-10,5296,AL30
2021-05-11,5180,AL30
2021-05-12,5226,AL30
2021-05-13,5260,AL30
2021-05-14,5410,AL30
2021-05-17,5521,AL30
2021-05-18,5521,AL30
2021-05-19,5488,AL30
2021-05-20,5468,AL30
2021-05-21,5448,AL30
2021-05-26,5603,AL30
2021-05-27,5660,AL30
2021-05-28,5638,AL30
2021-05-31,5656,AL30
2021-06-01,5730,AL30
2021-06-02,5870,AL30
2021-06-03,5816,AL30
2021-06-04,5767,AL30
2021-06-07,5860,AL30
2021-06-08,5941,AL30
2021-06-09,6012,AL30
2021-06-10,6040,AL30
2021-06-11,6055,AL30
2021-06-14,6049.5,AL30
2021-06-15,6041,AL30
2021-06-16,6043,AL30
2021-06-17,6020,AL30
2021-06-18,5962,AL30
2021-06-22,5887,AL30
2021-06-23,5880,AL30
2021-06-24,5833,AL30
2021-06-25,5722,AL30
2021-06-28,5673,AL30
2021-06-29,5592,AL30
2021-06-30,5550,AL30
2021-07-01,5603,AL30
2021-07-02,5666,AL30
2021-07-05,5626,AL30
2021-07-06,5605,AL30
2021-07-07,5611,AL30
2021-07-08,5635,AL30
2021-07-12,5694,AL30
2021-07-13,5747,AL30
2021-07-14,5800,AL30
2021-07-15,5832,AL30
2021-07-16,5887,AL30
2021-07-19,5942,AL30
2021-07-20,6010,AL30
2021-07-21,6040,AL30
2021-07-22,6040,AL30
2021-07-23,6040,AL30
2021-07-26,6042,AL30
2021-07-27,6045,AL30
2021-07-28,6046,AL30
2021-07-29,6044,AL30
2021-07-30,6033,AL30
2021-08-02,6035,AL30
2021-08-03,6035,AL30
2021-08-04,6010,AL30
2021-08-05,5980,AL30
2021-08-06,5948,AL30
2021-08-09,5965,AL30
2021-08-10,6005,AL30
2021-08-11,6041,AL30
2021-08-12,6052,AL30
2021-08-13,5951,AL30
2021-08-17,5975,AL30
2021-08-18,5981,AL30
2021-08-19,5980,AL30
2021-08-20,5972,AL30
2021-08-23,5975,AL30
2021-08-24,5996,AL30
2021-08-25,6001,AL30
2021-08-26,6020,AL30
2021-08-27,6056,AL30
2021-08-30,6121,AL30
2021-08-31,6182,AL30
2021-09-01,6285,AL30
2021-09-02,6390,AL30
2021-09-03,6400,AL30
2021-09-06,6450,AL30
2021-09-07,6480,AL30
2021-09-08,6450,AL30
2021-09-09,6441,AL30
2021-09-10,6430,AL30
2021-09-13,6573,AL30
2021-09-14,6561,AL30
2021-09-15,6557,AL30
2021-09-16,6579,AL30
2021-09-17,6570,AL30
2021-09-20,6541,AL30
2021-09-21,6520,AL30
2021-09-22,6520,AL30
2021-09-23,6524,AL30
2021-09-24,6479,AL30
2021-09-27,6470,AL30
2021-09-28,6474,AL30
2021-09-29,6502,AL30
2021-09-30,6497,AL30
2021-10-01,6489,AL30
2021-10-04,6485,AL30
2021-10-05,6470,AL30
2021-10-06,6415,AL30
2021-10-07,6421,AL30
2021-10-12,6394,AL30
2021-10-13,6395,AL30
2021-10-14,6400,AL30
2021-10-15,6391,AL30
2021-10-18,6382,AL30
2021-10-19,6389,AL30
2021-10-20,6401,AL30
2021-10-21,6411,AL30
2021-10-22,6420,AL30
2021-10-25,6429,AL30
2021-10-26,6431,AL30
2021-10-27,6429,AL30
2021-10-28,6420,AL30
2021-10-29,6398,AL30
2021-11-01,6391,AL30
2021-11-02,6400,AL30
2021-11-03,6407,AL30
2021-11-04,6446,AL30
2021-11-05,6498,AL30
2021-11-08,6545,AL30
2021-11-09,6552,AL30
2021-11-10,6555,AL30
2021-11-11,6578,AL30
2021-11-12,6590,AL30
2021-11-15,6643,AL30
2021-11-16,6580,AL30
2021-11-17,6514,AL30
2021-11-18,6383,AL30
2021-11-19,6375,AL30
2021-11-23,6220,AL30
2021-11-24,6177,AL30
2021-11-25,6086,AL30
2021-11-26,5855,AL30
2021-11-29,5930,AL30
2021-11-30,5889,AL30
2021-12-01,6339,AL30
2021-12-02,6342,AL30
2021-12-03,6575,AL30
2021-12-06,6687,AL30
2021-12-07,6795,AL30
2021-12-09,6683,AL30
2021-12-10,6595,AL30
2021-12-13,6463,AL30
2021-12-14,6405,AL30
2021-12-15,6347,AL30
2021-12-16,6347,AL30
2021-12-17,6391,AL30
2021-12-20,6373,AL30
2021-12-21,6429,AL30
2021-12-22,6435,AL30
2021-12-23,6335,AL30
2021-12-27,6400,AL30
2021-12-28,6477,AL30
2021-12-29,6510,AL30
2021-12-30,6468,AL30
2022-01-03,6554.5,AL30
2022-01-04,6465,AL30
2022-01-05,6410,AL30
2022-01-06,6271,AL30
2022-01-07,6160,AL30
