fecha,apertura,maximo,minimo,cierre,volumen,openint
"2020-09-14","49.00000","50","49","49.00000","23769760","0"
"2020-09-15","49.00000","50","48","48.00000","12068411","0"
"2020-09-16","46.00000","47","45","46.00000","9485878","0"
"2020-09-17","46.00000","46","44","44.00000","14728868","0"
"2020-09-18","44.00000","45","44","44.00000","23340012","0"
"2020-09-21","44.00000","44","42","43.00000","22732744","0"
"2020-09-22","43.00000","43","41","41.00000","18582496","0"
"2020-09-23","41.00000","42.7","40.1","42.18000","30923748","0"
"2020-09-24","43.00000","44.2","41","42.70000","35462680","0"
"2020-09-25","43.10000","43.5","42","42.60000","12187767","0"
"2020-09-28","42.99000","43.64","42.08","43.00000","11059016","0"
"2020-09-29","43.00000","43","41.75","41.75000","15604190","0"
"2020-09-30","42.00000","42.57","41.8","42.50000","11675378","0"
"2020-10-01","42.10000","42.88","42.1","42.60000","20131380","0"
"2020-10-02","41.69000","42","41","41.99000","17618474","0"
"2020-10-05","41.25000","41.82","40.76","41.80000","19703140","0"
"2020-10-06","41.80000","41.8","40.5","40.85000","17711310","0"
"2020-10-07","40.70000","41.4","40.5","41.40000","14599618","0"
"2020-10-08","40.80000","41.35","40.7","41.10000","13303576","0"
"2020-10-09","41.20000","41.4","40.77","41.40000","26015904","0"
"2020-10-13","41.48000","41.5","40.61","41.50000","25184580","0"
"2020-10-14","42.50000","42.5","40.25","40.79000","18881460","0"
"2020-10-15","40.00000","41.55","39.9","40.81000","30634220","0"
"2020-10-16","40.25000","41.41","40.25","40.65000","21562168","0"
"2020-10-19","40.65000","40.78","39.8","40.30000","25224392","0"
"2020-10-20","39.75000","40.41","38.6","38.75000","23651502","0"
"2020-10-21","39.50000","39.5","37.2","37.50000","28208488","0"
"2020-10-22","36.55000","37.45","36","36.12000","26204658","0"
"2020-10-23","36.50000","38.49","36.01","36.90000","17443788","0"
"2020-10-26","37.00000","37","35.76","36.40000","23127472","0"
"2020-10-27","35.60000","37.1","35.6","36.90000","36196624","0"
"2020-10-28","36.90000","37","36.25","36.90000","39647344","0"
"2020-10-29","36.20000","36.9","36.05","36.90000","37618304","0"
"2020-10-30","36.25000","36.9","36","36.90000","31646060","0"
"2020-11-02","37.00000","37","36.3","37.00000","28999738","0"
"2020-11-03","36.55000","37","36.06","37.00000","44776980","0"
"2020-11-04","36.35000","36.9","36.1","36.90000","61314480","0"
"2020-11-05","37.19000","37.19","36","36.70000","36064264","0"
"2020-11-06","36.10000","36.6","36","36.60000","17563416","0"
"2020-11-09","36.90000","37.25","36.55","36.95000","24546208","0"
"2020-11-10","36.35000","37.1","36.35","37.10000","23239032","0"
"2020-11-11","37.10000","38.5","36.65","38.14000","25820740","0"
"2020-11-12","38.32000","38.6","37.35","38.34000","48743564","0"
"2020-11-13","38.00000","38.6","37.9","38.45000","31291724","0"
"2020-11-16","38.45000","39.1","38.4","39.00000","25167192","0"
"2020-11-17","38.80000","39.17","38.42","39.05000","35511556","0"
"2020-11-18","38.60000","39","38.6","38.90000","54911880","0"
"2020-11-19","38.70000","38.8","38.25","38.55000","58454520","0"
"2020-11-20","38.50000","38.7","38.2","38.35000","53430824","0"
"2020-11-24","38.35000","38.4","37.95","38.05000","32234672","0"
"2020-11-25","37.89000","38.7","37.61","38.20000","20196416","0"
"2020-11-26","38.30000","38.4","38","38.30000","11515844","0"
"2020-11-27","38.46000","38.46","38.03","38.10000","21585386","0"
"2020-11-30","37.53000","38.17","36.95","37.70000","29724816","0"
"2020-12-01","37.40000","37.84","37.3","37.50000","13469230","0"
"2020-12-02","37.48000","37.65","37.35","37.63000","15309009","0"
"2020-12-03","37.50000","37.85","37.3","37.80000","9009584","0"
"2020-12-04","37.50000","37.9","37.35","37.84000","12681380","0"
"2020-12-09","37.84000","38.72","37.18","38.21000","14666384","0"
"2020-12-10","38.35000","38.8","38.2","38.65000","9221517","0"
"2020-12-14","39.13000","39.6","39","39.60000","11739715","0"
"2020-12-15","39.35000","39.65","39.35","39.50000","13818346","0"
"2020-12-16","39.30000","39.5","39","39.38000","16945044","0"
"2020-12-17","39.40000","39.4","39.1","39.32000","17684334","0"
"2020-12-18","39.15000","39.85","39","39.85000","15188974","0"
"2020-12-21","39.50000","40.5","39.32","40.45000","14974657","0"
"2020-12-22","40.50000","40.6","40.01","40.50000","14007525","0"
"2020-12-23","40.50000","40.59","40.15","40.59000","39086316","0"
"2020-12-28","40.20000","40.8","40.2","40.80000","20039224","0"
"2020-12-29","40.50000","40.85","40.5","40.85000","43041184","0"
