fecha,apertura,maximo,minimo,cierre,volumen,openint
"2020-09-14","51.00000","52.79","50.6","51.87000","15364395","0"
"2020-09-15","51.90000","51.9","51","51.08000","9702506","0"
"2020-09-16","50.45000","50.45","47.8","47.96000","15496065","0"
"2020-09-17","47.80000","47.8","46.61","46.90000","12899745","0"
"2020-09-18","46.89000","47.87","46.5","47.10000","14962801","0"
"2020-09-21","46.50000","46.5","44.75","46.12000","18581780","0"
"2020-09-22","46.84000","46.84","44.78","45.39000","19570260","0"
"2020-09-23","44.97000","46.78","43.61","46.55000","27391918","0"
"2020-09-24","46.50000","46.99","45.24","46.00000","26013004","0"
"2020-09-25","46.10000","46.46","45.17","45.20000","16426439","0"
"2020-09-28","45.26000","46.11","44.75","44.90000","21648882","0"
"2020-09-29","44.07000","45","44.07","44.67000","19914396","0"
"2020-09-30","44.71000","44.85","44.35","44.60000","20848444","0"
"2020-10-01","44.60000","44.95","44.3","44.70000","24068948","0"
"2020-10-02","44.34000","44.39","43.71","44.30000","24914652","0"
"2020-10-05","44.12000","44.44","43.11","44.40000","29123460","0"
"2020-10-06","44.01000","44.61","43.6","44.45000","30843112","0"
"2020-10-07","44.01000","44.8","43.81","44.80000","26660432","0"
"2020-10-08","44.80000","44.8","44.05","44.70000","27493344","0"
"2020-10-09","44.70000","44.78","44","44.73000","46651816","0"
"2020-10-13","44.01000","44.78","44.01","44.74000","37153072","0"
"2020-10-14","44.39000","44.76","43.95","44.45000","35066792","0"
"2020-10-15","44.11000","44.6","44.01","44.40000","40746992","0"
"2020-10-16","44.06000","44.5","44","44.19000","35414792","0"
"2020-10-19","44.10000","44.11","42.73","43.35000","36628068","0"
"2020-10-20","43.03000","43.05","40.8","41.38000","43269232","0"
"2020-10-21","40.99000","40.99","39.2","40.30000","44927880","0"
"2020-10-22","39.98000","40.2","39.1","40.10000","47730272","0"
"2020-10-23","39.53000","40.43","39.22","40.15000","39416328","0"
"2020-10-26","39.98000","40","38.23","38.23000","24301468","0"
"2020-10-27","38.00000","39.49","37.5","39.22000","30689292","0"
"2020-10-28","38.80000","39.15","38","38.80000","32435176","0"
"2020-10-29","38.50000","39","38.25","38.74000","24101124","0"
"2020-10-30","38.70000","38.74","37.9","38.05000","24465708","0"
"2020-11-02","38.05000","38.7","37.75","38.64000","27479568","0"
"2020-11-03","38.70000","38.9","38.15","38.38000","31340808","0"
"2020-11-04","38.10000","38.46","37.93","38.39000","30897226","0"
"2020-11-05","38.40000","38.4","37.95","37.99000","29120152","0"
"2020-11-06","37.90000","38.06","37.75","38.00000","14146712","0"
"2020-11-09","38.50000","38.85","38.05","38.35000","30985402","0"
"2020-11-10","38.25000","38.49","38.1","38.40000","19927984","0"
"2020-11-11","38.21000","39.49","38.18","39.20000","26339668","0"
"2020-11-12","39.00000","39.8","38.6","39.47000","35554692","0"
"2020-11-13","39.15000","39.96","39.15","39.90000","32497368","0"
"2020-11-16","39.99000","40.49","39.66","40.26000","24837388","0"
"2020-11-17","39.99000","40.3","39.95","40.18000","23816624","0"
"2020-11-18","40.00000","40.15","39.6","39.74000","39842184","0"
"2020-11-19","39.22000","39.49","39.22","39.43000","36288904","0"
"2020-11-20","39.10000","39.32","38.9","39.05000","44813572","0"
"2020-11-24","39.06000","39.14","38.62","38.85000","30869766","0"
"2020-11-25","38.50000","39.51","38.5","39.20000","26284316","0"
"2020-11-26","39.20000","39.27","38.81","39.00000","12948535","0"
"2020-11-27","39.00000","39.11","38.87","39.01000","28547164","0"
"2020-11-30","38.95000","38.98","37.82","38.61000","32899250","0"
"2020-12-01","38.31000","38.6","38.27","38.48000","23293834","0"
"2020-12-02","38.06000","38.71","38.06","38.65000","19401676","0"
"2020-12-03","38.55000","39","38.45","39.00000","16961342","0"
"2020-12-04","38.56000","38.9","38.56","38.60000","17482184","0"
"2020-12-09","38.60000","39.39","38.1","39.12000","25510568","0"
"2020-12-10","38.90000","39.8","38.61","39.67000","22996348","0"
"2020-12-11","39.31000","40.12","39.22","39.85000","26143764","0"
"2020-12-14","39.76000","40.39","39.65","40.33000","20995624","0"
"2020-12-15","40.02000","40.23","39.93","40.03000","28661048","0"
"2020-12-16","39.50000","39.95","39.5","39.78000","23738116","0"
"2020-12-17","39.32000","39.88","39.32","39.84000","23640934","0"
"2020-12-18","39.57000","40.25","39.57","40.22000","23644548","0"
"2020-12-21","40.00000","40.76","39.8","40.74000","29948550","0"
"2020-12-22","40.37000","40.8","40.37","40.71000","30519752","0"
"2020-12-23","40.68000","40.68","40.3","40.62000","37978592","0"
"2020-12-28","40.41000","40.94","40.4","40.90000","26321064","0"
"2020-12-29","40.65000","40.96","40.63","40.93000","24653548","0"
"2020-12-30","40.71000","40.97","40.69","40.94000","28413460","0"
"2021-01-04","40.71000","40.79","40.3","40.55000","50859776","0"
"2021-01-05","40.06000","40.33","39.92","40.25000","37898068","0"
"2021-01-06","40.06000","40.23","39.92","40.10000","37303020","0"
"2021-01-07","40.00000","40.08","39.52","39.55000","47514112","0"
"2021-01-08","39.21000","39.5","39.07","39.50000","45042736","0"
"2021-01-11","39.11000","39.5","38.75","39.04000","33665548","0"
"2021-01-12","38.70000","39.04","38.5","39.04000","59378976","0"
"2021-01-13","38.66000","39.05","38.56","38.98000","49558136","0"
"2021-01-14","38.77000","38.8","38.4","38.75000","49647656","0"
"2021-01-15","38.59000","38.7","38.35","38.69000","52741000","0"
"2021-01-18","38.54000","38.81","38.25","38.80000","46868436","0"
"2021-01-19","38.45000","38.8","38.45","38.79000","57466360","0"
"2021-01-20","38.50000","38.74","38.5","38.74000","36018536","0"
"2021-01-21","38.60000","38.7","38.59","38.69000","40721504","0"
"2021-01-22","38.61000","38.69","38.47","38.69000","48436648","0"
"2021-01-25","38.55000","38.65","38.51","38.64000","33934572","0"
"2021-01-26","38.55000","38.61","38.46","38.58000","38985796","0"
"2021-01-27","38.46000","38.56","38.36","38.43000","36403856","0"
"2021-01-28","38.31000","38.4","38.06","38.27000","45767016","0"
"2021-01-29","38.11000","38.2","38.03","38.14000","37565856","0"
"2021-02-01","38.14000","38.18","37.96","38.09000","23313980","0"
"2021-02-02","38.01000","38.09","37.87","37.97000","31446428","0"
"2021-02-03","37.95000","37.95","37.7","37.78000","31933328","0"
"2021-02-04","37.63000","37.7","37.53","37.64000","29970048","0"
"2021-02-05","37.55000","37.64","37.38","37.62000","36108360","0"
"2021-02-08","37.52000","37.72","37.44","37.62000","27031808","0"
"2021-02-09","37.53000","37.6","37.48","37.52000","22355776","0"
"2021-02-10","37.43000","37.5","37.34","37.45000","27563020","0"
"2021-02-11","37.40000","37.53","37.01","37.01000","17936208","0"
"2021-02-12","37.02000","37.3","36.42","36.45000","15610930","0"
