fecha,cierre,ticker
2020-09-08,6325,GD30
2020-09-09,6380,GD30
2020-09-10,6420,GD30
2020-09-11,6430,GD30
2020-09-14,6380,GD30
2020-09-15,6260,GD30
2020-09-16,6120,GD30
2020-09-17,5940,GD30
2020-09-18,6149,GD30
2020-09-21,6075,GD30
2020-09-22,6100,GD30
2020-09-23,6245,GD30
2020-09-24,6015.5,GD30
2020-09-25,6100,GD30
2020-09-28,6155,GD30
2020-09-29,6199,GD30
2020-09-30,6219,GD30
2020-10-01,6210.5,GD30
2020-10-02,6150,GD30
2020-10-05,6215,GD30
2020-10-06,6169,GD30
2020-10-07,6215,GD30
2020-10-08,6301,GD30
2020-10-09,6480,GD30
2020-10-13,6589.5,GD30
2020-10-14,6740,GD30
2020-10-15,6923,GD30
2020-10-16,6885,GD30
2020-10-19,6795,GD30
2020-10-20,6692,GD30
2020-10-21,6790,GD30
2020-10-22,6825,GD30
2020-10-23,6710,GD30
2020-10-26,6455,GD30
2020-10-27,6258,GD30
2020-10-28,6050,GD30
2020-10-29,5704,GD30
2020-10-30,5790,GD30
2020-11-02,5706,GD30
2020-11-03,5815,GD30
2020-11-04,5895,GD30
2020-11-05,5890,GD30
2020-11-06,5850,GD30
2020-11-09,5980,GD30
2020-11-10,5979,GD30
2020-11-11,5990,GD30
2020-11-12,5970,GD30
2020-11-13,6050,GD30
2020-11-16,6175,GD30
2020-11-17,6070,GD30
2020-11-18,6095,GD30
2020-11-19,6024,GD30
2020-11-20,6021,GD30
2020-11-24,6095,GD30
2020-11-25,5975,GD30
2020-11-26,6071,GD30
2020-11-27,6105,GD30
2020-11-30,5950,GD30
2020-12-01,5890,GD30
2020-12-02,5840,GD30
2020-12-03,5695,GD30
2020-12-04,5700,GD30
2020-12-09,5610,GD30
2020-12-10,5615,GD30
2020-12-11,5730,GD30
2020-12-14,5860,GD30
2020-12-15,5790,GD30
2020-12-16,5770,GD30
2020-12-17,5770,GD30
2020-12-18,5865,GD30
2020-12-21,5755,GD30
2020-12-22,5750,GD30
2020-12-23,5855,GD30
2020-12-28,5925,GD30
2020-12-29,5850,GD30
2020-12-30,5901,GD30
