fecha,apertura,maximo,minimo,cierre,volumen,openint
"2020-09-15","49.75000","50","49.5","49.50000","322447","0"
"2020-09-16","46.00000","46.5","46","46.50000","862267","0"
"2020-09-17","45.50000","45.5","45.2","45.20000","238500","0"
"2020-09-18","44.25000","45","44.25","45.00000","775435","0"
"2020-09-21","42.50000","42.75","42.5","42.75000","20944","0"
"2020-09-22","42.80000","43","42.25","42.25000","1408339","0"
"2020-09-23","41.25000","42","40.6","41.50000","1342530","0"
"2020-09-24","41.50000","43","41.5","42.25000","4650888","0"
"2020-09-25","42.49000","42.49","41.3","42.40000","604789","0"
"2020-09-28","43.00000","43","42","42.00000","140378","0"
"2020-09-29","42.10000","42.25","41.5","41.50000","1639468","0"
"2020-09-30","42.10000","42.4","41.5","41.50000","170053","0"
"2020-10-01","42.50000","42.5","42","42.25000","1801525","0"
"2020-10-02","41.50000","41.9","41.25","41.45000","1114732","0"
"2020-10-05","41.25000","41.25","40.5","40.50000","1446045","0"
"2020-10-06","40.50000","40.7","40.4","40.50000","366726","0"
"2020-10-07","40.75000","41.1","40.3","41.10000","2471803","0"
"2020-10-08","41.25000","41.5","40.99","41.50000","2576045","0"
"2020-10-09","41.35000","41.75","41","41.00000","421868","0"
"2020-10-13","41.25000","42","41.01","42.00000","861232","0"
"2020-10-14","40.99000","41.35","40.8","41.00000","2339072","0"
"2020-10-15","40.25000","41.55","40.25","41.25000","3382137","0"
"2020-10-16","41.00000","41.25","40.85","40.90000","2374252","0"
"2020-10-19","40.00000","41.25","40","41.25000","10338197","0"
"2020-10-20","39.90000","39.9","38.9","39.05000","4897241","0"
"2020-10-21","39.25000","39.25","37.75","37.75000","5351822","0"
"2020-10-22","37.75000","38.3","37.75","37.90000","445151","0"
"2020-10-23","38.60000","38.6","38","38.00000","1449759","0"
"2020-10-26","38.50000","38.75","38.02","38.40000","6290467","0"
"2020-10-27","38.40000","38.5","37.81","37.81000","3723406","0"
"2020-10-28","37.70000","37.95","36.9","37.95000","3372012","0"
"2020-10-29","37.70000","37.7","37","37.15000","2981336","0"
"2020-10-30","37.15000","38","37","38.00000","2957954","0"
"2020-11-02","37.75000","38.35","37.75","38.30000","13542184","0"
"2020-11-03","38.65000","38.85","38.3","38.75000","2888965","0"
"2020-11-04","38.79000","39","38.5","38.95000","4657830","0"
"2020-11-05","39.00000","39.75","38.8","38.85000","6413695","0"
"2020-11-06","39.00000","39","38.85","38.90000","409778","0"
"2020-11-09","40.00000","40.25","39.75","39.90000","1465401","0"
"2020-11-10","39.70000","39.9","39.7","39.90000","1365556","0"
"2020-11-11","40.00000","40.65","39.95","40.65000","645405","0"
"2020-11-12","40.50000","40.95","40","40.95000","1981296","0"
"2020-11-13","40.70000","41","40.61","41.00000","2762727","0"
"2020-11-16","41.25000","41.35","41","41.30000","3707042","0"
"2020-11-17","41.00000","41","40.1","40.40000","3694702","0"
"2020-11-18","40.55000","40.75","40.45","40.70000","1669660","0"
"2020-11-19","40.40000","40.4","39.4","39.90000","6182736","0"
"2020-11-20","40.00000","40.2","39.65","40.20000","7836317","0"
"2020-11-24","39.80000","40.2","39.7","40.20000","2592312","0"
"2020-11-25","40.20000","40.25","39.8","39.90000","6226580","0"
"2020-11-26","40.00000","40.6","39.76","40.60000","4009817","0"
"2020-11-27","40.25000","40.6","40.1","40.40000","24234560","0"
"2020-11-30","40.15000","40.2","39.25","39.65000","14524210","0"
"2020-12-01","39.42000","39.75","39.35","39.55000","10686237","0"
"2020-12-02","39.35000","40.5","38.9","39.49000","12811605","0"
"2020-12-03","39.20000","39.3","38.85","39.20000","6824579","0"
"2020-12-04","39.25000","39.25","38.85","38.95000","4815611","0"
"2020-12-09","39.00000","39.1","38.75","39.00000","16311057","0"
"2020-12-10","38.95000","39.54","38.8","39.41000","8711150","0"
"2020-12-11","39.30000","40.4","39.21","39.91000","8398463","0"
"2020-12-14","40.90000","40.9","40.35","40.70000","6285210","0"
"2020-12-15","40.50000","40.6","39.95","40.10000","4678662","0"
"2020-12-16","40.00000","40.4","39.9","40.40000","7584936","0"
"2020-12-17","39.90000","40.6","39.9","40.48000","8802789","0"
"2020-12-18","40.30000","40.9","40.2","40.80000","6029940","0"
"2020-12-21","40.70000","41","40.3","40.94000","9215112","0"
"2020-12-22","40.60000","41","40.6","40.80000","12678972","0"
"2020-12-23","40.81000","41.2","40.81","41.15000","14480919","0"
"2020-12-28","41.05000","41.5","40.97","41.50000","12308037","0"
"2020-12-29","41.10000","41.14","40.85","41.10000","4863279","0"
"2020-12-30","40.75000","41.5","40.75","41.31000","17406440","0"
"2021-01-04","41.00000","41","40.2","40.25000","24217750","0"
"2021-01-05","40.10000","40.19","39.6","40.15000","20627952","0"
"2021-01-06","40.05000","40.7","39.85","40.60000","24117156","0"
"2021-01-07","40.50000","40.7","40.2","40.60000","15871343","0"
