fecha,apertura,maximo,minimo,cierre,volumen,openint
"2020-09-15","51.00000","52","50","50.00000","167334","0"
"2020-09-16","50.00000","50","47.2","48.10000","53736","0"
"2020-09-17","48.00000","48.49","45","46.25000","1386322","0"
"2020-09-18","46.50000","47.5","45.74","46.89000","1264142","0"
"2020-09-21","45.00000","45.75","45","45.75000","544923","0"
"2020-09-22","45.50000","46.4","44.56","45.33000","947290","0"
"2020-09-23","44.50000","46.69","44.13","46.30000","1548946","0"
"2020-09-24","45.75000","46.5","45.3","45.70000","7508058","0"
"2020-09-25","45.03000","45.5","44.91","45.29000","4831729","0"
"2020-09-28","45.29000","46.5","44.84","44.85000","986606","0"
"2020-09-29","44.50000","44.75","44.1","44.47000","3479407","0"
"2020-09-30","45.15000","45.15","44.54","44.71000","1574286","0"
"2020-10-01","45.40000","45.4","44.4","44.40000","3428511","0"
"2020-10-02","44.35000","44.35","43.65","43.99000","2377301","0"
"2020-10-05","43.90000","43.95","43.1","43.45000","2122748","0"
"2020-10-06","43.40000","44.55","43.25","44.00000","2940794","0"
"2020-10-07","43.60000","44.6","43.52","44.50000","1199412","0"
"2020-10-08","44.71000","44.8","44","44.80000","3543174","0"
"2020-10-09","44.70000","45.25","44.4","45.02000","1446711","0"
"2020-10-13","44.80000","45.3","44.45","45.01000","2691006","0"
"2020-10-14","44.47000","45.5","44.47","45.50000","2577732","0"
"2020-10-15","45.50000","45.5","44.2","44.50000","3643252","0"
"2020-10-16","43.70000","44.9","43.7","44.30000","1758132","0"
"2020-10-19","44.00000","44.32","43.03","43.80000","3585880","0"
"2020-10-20","43.00000","43","41.27","41.70000","3329984","0"
"2020-10-21","42.00000","42.25","40.25","40.55000","1032296","0"
"2020-10-22","40.03000","41.5","39.85","41.50000","1858967","0"
"2020-10-23","41.75000","42.5","41.1","42.50000","1929517","0"
"2020-10-26","41.30000","42","40.5","40.50000","825668","0"
"2020-10-27","40.49000","41.1","40","40.50000","3285112","0"
"2020-10-28","40.00000","40.9","38.99","40.50000","2929975","0"
"2020-10-29","40.50000","40.5","39.15","39.58000","1132433","0"
"2020-10-30","39.44000","39.85","38.82","39.85000","3760293","0"
"2020-11-02","39.01000","40.47","39","40.47000","4362926","0"
"2020-11-03","40.25000","41.25","39.57","41.15000","3479849","0"
"2020-11-04","41.25000","41.25","40.5","40.92000","4637375","0"
"2020-11-05","41.15000","41.55","40.6","40.65000","5330680","0"
"2020-11-06","41.00000","41","40.5","40.50000","416625","0"
"2020-11-09","42.00000","42","41.25","41.64000","1842708","0"
"2020-11-10","41.00000","41.99","40.6","41.50000","1827677","0"
"2020-11-11","41.75000","41.9","41.3","41.90000","732442","0"
"2020-11-12","41.50000","42.25","41.1","42.25000","2308221","0"
"2020-11-13","41.65000","42.8","41.65","42.50000","2481433","0"
"2020-11-16","42.79000","42.9","42.5","42.84000","3866249","0"
"2020-11-17","42.00000","42.55","41.41","41.69000","3234882","0"
"2020-11-18","41.70000","41.9","41.31","41.41000","2655360","0"
"2020-11-19","40.80000","41.26","40.61","40.90000","2067287","0"
"2020-11-20","40.57000","41","40.5","40.85000","3163563","0"
"2020-11-24","41.00000","41.3","40.11","41.20000","1359208","0"
"2020-11-25","40.80000","41.19","40.66","40.80000","3532267","0"
"2020-11-26","42.69000","42.69","40.7","41.20000","3817772","0"
"2020-11-27","40.85000","41.63","40.85","41.49000","23414580","0"
"2020-11-30","41.10000","41.44","40.5","40.70000","15112139","0"
"2020-12-01","40.90000","41","40.5","40.68000","9570256","0"
"2020-12-02","40.68000","42.8","39.99","40.61000","9754745","0"
"2020-12-03","40.16000","40.6","40.15","40.50000","5298531","0"
"2020-12-04","40.50000","40.5","39.8","39.94000","4812069","0"
"2020-12-09","39.75000","40","39.61","40.00000","14503899","0"
"2020-12-10","39.80000","40.74","39.71","40.60000","12859457","0"
"2020-12-11","40.11000","41.47","40.11","40.79000","6390202","0"
"2020-12-14","41.50000","41.7","40.76","41.50000","4641166","0"
"2020-12-15","41.35000","41.95","40.55","40.66000","3526123","0"
"2020-12-16","40.98000","40.98","40.4","40.80000","8077946","0"
"2020-12-17","40.40000","41.1","40.4","41.01000","5853782","0"
"2020-12-18","40.72000","41.5","40.67","41.40000","6106379","0"
"2020-12-21","40.56000","41.37","40.56","41.15000","9395722","0"
"2020-12-22","40.90000","41.5","40.9","41.25000","8748847","0"
"2020-12-23","41.10000","41.49","41.07","41.30000","11383304","0"
