fecha,cierre.x,cierre.y,mep
2020-09-14,6391,51.87,123.21187584345479
2020-09-15,6235,51.08,122.06342991386062
2020-09-16,6120,47.96,127.60633861551293
2020-09-17,5925,46.9,126.33262260127933
2020-09-18,6110,47.1,129.72399150743098
2020-09-21,6041,46.12,130.98438855160452
2020-09-22,6100,45.39,134.39083498567967
2020-09-23,6270,46.55,134.69387755102042
2020-09-24,6020,46,130.8695652173913
2020-09-25,6115,45.2,135.287610619469
2020-09-28,6165,44.9,137.30512249443208
2020-09-29,6200,44.67,138.7956122677412
2020-09-30,6190,44.6,138.78923766816143
2020-10-01,6215,44.7,139.03803131991052
2020-10-02,6120,44.3,138.1489841986456
2020-10-05,6251,44.4,140.7882882882883
2020-10-06,6230,44.45,140.15748031496062
2020-10-07,6226,44.8,138.9732142857143
2020-10-08,6300,44.7,140.93959731543623
2020-10-09,6415,44.73,143.4160518667561
2020-10-13,6485,44.74,144.9485918641037
2020-10-14,6680,44.45,150.28121484814397
2020-10-15,6880.5,44.4,154.96621621621622
2020-10-16,6720,44.19,152.0706042090971
2020-10-19,6650,43.35,153.40253748558246
2020-10-20,6659,41.38,160.92315128081196
2020-10-21,6555,40.3,162.65508684863525
2020-10-22,6540,40.1,163.0922693266833
2020-10-23,6230,40.15,155.1681195516812
2020-10-26,6010,38.23,157.20638242218155
2020-10-27,6000,39.22,152.9831718510964
2020-10-28,5620,38.8,144.84536082474227
2020-10-29,5580,38.74,144.03717088280845
2020-10-30,5450,38.05,143.23258869908017
2020-11-02,5380,38.64,139.23395445134577
2020-11-03,5380,38.38,140.17717561229807
2020-11-04,5365,38.39,139.7499348788747
2020-11-05,5390,37.99,141.8794419584101
2020-11-06,5380,38,141.57894736842104
2020-11-09,5445,38.35,141.98174706649283
2020-11-10,5431,38.4,141.43229166666669
2020-11-11,5705,39.2,145.53571428571428
2020-11-12,5585,39.47,141.49987332151002
2020-11-13,5635,39.9,141.2280701754386
2020-11-16,5750,40.26,142.82165921510185
2020-11-17,5790,40.18,144.1015430562469
2020-11-18,5800,39.74,145.94866633115248
2020-11-19,5777.5,39.43,146.52548820694903
2020-11-20,5747,39.05,147.17029449423816
2020-11-24,5745,38.85,147.87644787644788
2020-11-25,5750,39.2,146.68367346938774
2020-11-26,5717,39,146.5897435897436
2020-11-27,5674,39.01,145.44988464496285
2020-11-30,5581,38.61,144.54804454804454
2020-12-01,5568,38.48,144.6985446985447
2020-12-02,5579.5,38.65,144.35963777490298
2020-12-03,5450,39,139.74358974358975
2020-12-04,5483,38.6,142.04663212435233
2020-12-09,5457,39.12,139.49386503067487
2020-12-10,5483,39.67,138.2152760272246
2020-12-11,5570,39.85,139.7741530740276
2020-12-14,5658,40.33,140.2925861641458
2020-12-15,5677,40.03,141.81863602298276
2020-12-16,5619.5,39.78,141.2644544997486
2020-12-17,5609,39.84,140.78815261044176
2020-12-18,5660,40.22,140.7260069617106
2020-12-21,5655,40.74,138.80706921944034
2020-12-22,5701,40.71,140.03930238270695
2020-12-23,5701,40.62,140.34958148695225
2020-12-28,5726,40.9,140
2020-12-29,5732,40.93,140.04397752259956
2020-12-30,5731,40.94,139.98534440644846
2021-01-04,5771,40.55,142.31812577065352
2021-01-05,5778,40.25,143.5527950310559
2021-01-06,5790,40.1,144.38902743142145
2021-01-07,5768,39.55,145.8407079646018
2021-01-08,5730,39.5,145.0632911392405
2021-01-11,5692,39.04,145.79918032786887
2021-01-12,5660,39.04,144.97950819672133
2021-01-13,5641,38.98,144.71523858388917
2021-01-14,5635,38.75,145.41935483870967
2021-01-15,5625,38.69,145.38640475575085
2021-01-18,5640,38.8,145.36082474226805
2021-01-19,5643,38.79,145.4756380510441
2021-01-20,5645,38.74,145.71502323180175
2021-01-21,5647,38.69,145.95502713879557
2021-01-22,5644,38.69,145.87748772292582
2021-01-25,5656,38.64,146.3768115942029
2021-01-26,5667,38.58,146.88958009331262
2021-01-27,5664,38.43,147.3848555815769
2021-01-28,5660,38.27,147.89652469297098
2021-01-29,5640,38.14,147.87624541164132
2021-02-01,5650,38.09,148.3328957731688
2021-02-02,5651,37.97,148.82802212272847
2021-02-03,5642,37.78,149.33827421916357
2021-02-04,5640,37.64,149.8405951115834
2021-02-05,5628,37.62,149.6012759170654
2021-02-08,5628,37.62,149.6012759170654
2021-02-09,5628,37.52,150
2021-02-10,5608,37.45,149.7463284379172
2021-02-11,5490,37.01,148.33828694947312
2021-02-12,5382,36.45,147.6543209876543
2021-02-17,5185,36.14,143.46983951300498
2021-02-18,5210,36.75,141.7687074829932
