fecha,cierre.x,cierre.y,mep
2020-09-15,6260,50,125.2
2020-09-16,6120,48.1,127.23492723492723
2020-09-17,5940,46.25,128.43243243243242
2020-09-18,6149,46.89,131.1367029217317
2020-09-21,6075,45.75,132.78688524590163
2020-09-22,6100,45.33,134.56871828810944
2020-09-23,6245,46.3,134.88120950323975
2020-09-24,6015.5,45.7,131.63019693654266
2020-09-25,6100,45.29,134.68756899977922
2020-09-28,6155,44.85,137.23522853957635
2020-09-29,6199,44.47,139.3973465257477
2020-09-30,6219,44.71,139.0963990158801
2020-10-01,6210.5,44.4,139.87612612612614
2020-10-02,6150,43.99,139.80450102295976
2020-10-05,6215,43.45,143.0379746835443
2020-10-06,6169,44,140.20454545454547
2020-10-07,6215,44.5,139.6629213483146
2020-10-08,6301,44.8,140.64732142857144
2020-10-09,6480,45.02,143.93602843180807
2020-10-13,6589.5,45.01,146.40079982226172
2020-10-14,6740,45.5,148.13186813186815
2020-10-15,6923,44.5,155.57303370786516
2020-10-16,6885,44.3,155.4176072234763
2020-10-19,6795,43.8,155.13698630136986
2020-10-20,6692,41.7,160.47961630695443
2020-10-21,6790,40.55,167.44759556103577
2020-10-22,6825,41.5,164.4578313253012
2020-10-23,6710,42.5,157.88235294117646
2020-10-26,6455,40.5,159.3827160493827
2020-10-27,6258,40.5,154.5185185185185
2020-10-28,6050,40.5,149.3827160493827
2020-10-29,5704,39.58,144.11318847902982
2020-10-30,5790,39.85,145.29485570890841
2020-11-02,5706,40.47,140.99332839140104
2020-11-03,5815,41.15,141.31227217496962
2020-11-04,5895,40.92,144.0615835777126
2020-11-05,5890,40.65,144.89544895448955
2020-11-06,5850,40.5,144.44444444444446
2020-11-09,5980,41.64,143.611911623439
2020-11-10,5979,41.5,144.0722891566265
2020-11-11,5990,41.9,142.95942720763725
2020-11-12,5970,42.25,141.301775147929
2020-11-13,6050,42.5,142.35294117647058
2020-11-16,6175,42.84,144.140989729225
2020-11-17,6070,41.69,145.5984648596786
2020-11-18,6095,41.41,147.18666988650085
2020-11-19,6024,40.9,147.28606356968217
2020-11-20,6021,40.85,147.39290085679315
2020-11-24,6095,41.2,147.93689320388347
2020-11-25,5975,40.8,146.44607843137257
2020-11-26,6071,41.2,147.35436893203882
2020-11-27,6105,41.49,147.14389009399855
2020-11-30,5950,40.7,146.19164619164619
2020-12-01,5890,40.68,144.78859390363814
2020-12-02,5840,40.61,143.80694410243782
2020-12-03,5695,40.5,140.6172839506173
2020-12-04,5700,39.94,142.71407110666
2020-12-09,5610,40,140.25
2020-12-10,5615,40.6,138.30049261083744
2020-12-11,5730,40.79,140.4756067663643
2020-12-14,5860,41.5,141.20481927710844
2020-12-15,5790,40.66,142.40039350713232
2020-12-16,5770,40.8,141.421568627451
2020-12-17,5770,41.01,140.6973908802731
2020-12-18,5865,41.4,141.66666666666669
2020-12-21,5755,41.15,139.85419198055894
2020-12-22,5750,41.25,139.3939393939394
2020-12-23,5855,41.3,141.7675544794189
2020-12-28,5925,41.89,141.4418715683934
2020-12-29,5850,41.19,142.02476329206118
2020-12-30,5901,41.59,141.885068526088
2021-01-04,5859,40.5,144.66666666666666
2021-01-05,5875,40.27,145.89024087409982
2021-01-06,5980,40.95,146.03174603174602
2021-01-07,6005,40.6,147.9064039408867
2021-01-08,5975,40.46,147.6767177459219
2021-01-11,5891,40.27,146.28755897690587
2021-01-12,5905,40.35,146.3444857496902
2021-01-13,5753,39.36,146.16361788617886
2021-01-14,5724,39,146.76923076923077
2021-01-15,5784,39.09,147.96623177283192
2021-01-18,5820,39.68,146.6733870967742
2021-01-19,5869,39.95,146.90863579474342
2021-01-20,5890,40.12,146.8095712861416
2021-01-21,5885,39.9,147.4937343358396
2021-01-22,5940,40.5,146.66666666666666
2021-01-25,5972,40.4,147.82178217821783
2021-01-26,6010,40.4,148.76237623762376
2021-01-27,5984.5,40.3,148.49875930521094
2021-01-28,5970,40.04,149.1008991008991
2021-01-29,5950,40.04,148.6013986013986
2021-02-01,5999.5,40.4,148.50247524752476
2021-02-02,5981,39.94,149.74962443665498
2021-02-03,5955,39.61,150.34082302448877
2021-02-04,5995,39.72,150.93152064451158
2021-02-05,6035,39.98,150.95047523761883
2021-02-08,6035,39.98,150.95047523761883
2021-02-09,5986,39.89,150.06267234895964
2021-02-10,5965,39.66,150.40342914775593
2021-02-11,5870,39.58,148.30722587165235
2021-02-12,5830,39.8,146.48241206030153
2021-02-17,5650,39.23,144.02243181238848
2021-02-18,5531,39.05,141.63892445582587
2021-02-19,5381,38.6,139.40414507772022
2021-02-22,5305,38.42,138.07912545549192
2021-02-23,5283,37.79,139.79888859486638
2021-02-24,5400,38.11,141.69509315140382
2021-02-25,5430,38.01,142.85714285714286
2021-02-26,5390,37.63,143.2367791655594
2021-03-01,5455,37.79,144.3503572373644
2021-03-02,5419,36.96,146.61796536796535
2021-03-03,5424,37,146.59459459459458
2021-03-04,5388,36.98,145.70037858301785
2021-03-05,5291,36.08,146.64634146341464
2021-03-08,5291,36.08,146.64634146341464
2021-03-09,5170,35.26,146.62507090187182
2021-03-10,4930,34.39,143.35562663564988
2021-03-11,5011,34.65,144.61760461760463
2021-03-12,5120,35.31,145.0014160294534
2021-03-15,5220,35.95,145.20166898470097
2021-03-16,5261,36.3,144.93112947658403
2021-03-17,5364,36.88,145.44468546637742
2021-03-18,5317,36.61,145.2335427478831
2021-03-19,5335,36.95,144.38430311231392
2021-03-22,5375,37.55,143.14247669773636
2021-03-23,5298,37.08,142.8802588996764
2021-03-25,5130,36.3,141.3223140495868
2021-03-26,5025,36.21,138.77381938690968
2021-03-29,4950,35.65,138.8499298737728
2021-03-30,4920,35.09,140.21088629239097
2021-03-31,4960,35.01,141.67380748357613
2021-04-05,5006.5,35.35,141.6265912305516
2021-04-06,5092,35.4,143.8418079096045
2021-04-07,5077,35.29,143.865117597053
2021-04-08,5125,35.38,144.855850763143
2021-04-09,5091.5,35.15,144.85064011379802
2021-04-12,5182,35.92,144.2650334075724
2021-04-13,5195.5,36.39,142.77273976367132
2021-04-14,5177,36.1,143.40720221606648
2021-04-15,5172,35.98,143.74652584769316
2021-04-16,5231.5,36.4,143.72252747252747
2021-04-19,5270,36.49,144.42312962455466
2021-04-20,5307,36.2,146.60220994475137
2021-04-21,5337,36.63,145.7002457002457
2021-04-22,5340,36.7,145.5040871934605
2021-04-23,5440,36.66,148.39061647572288
2021-04-26,5550,36.85,150.61058344640435
2021-04-27,5623,37.14,151.40010770059234
2021-04-28,5650,36.96,152.86796536796535
2021-04-29,5622,36.75,152.9795918367347
2021-04-30,5690,37.21,152.91588282719698
2021-05-03,5712,37.07,154.08686269220394
2021-05-04,5746,37.05,155.08771929824562
2021-05-05,5710,36.82,155.07876154263988
2021-05-06,5631,36.53,154.14727621133315
2021-05-07,5613,36.32,154.54295154185021
2021-05-10,5609,36.48,153.75548245614036
2021-05-11,5500,35.9,153.2033426183844
2021-05-12,5570,36.4,153.02197802197801
2021-05-13,5610,36.45,153.9094650205761
2021-05-14,5788,37.45,154.55273698264352
2021-05-17,5947,38.38,154.95049504950495
2021-05-18,5947,38.38,154.95049504950495
2021-05-19,5973,37.9,157.59894459102904
2021-05-20,6015,37.99,158.33113977362464
2021-05-21,5976,37.5,159.36
2021-05-26,6138,38.75,158.4
2021-05-27,6157.5,38.71,159.06742443812968
2021-05-28,6164,38.55,159.89623865110246
2021-05-31,6198,38.58,160.65318818040436
2021-06-01,6250,38.8,161.08247422680412
2021-06-02,6407,39.51,162.1614781068084
2021-06-03,6295,38.86,161.99176531137417
2021-06-04,6290,39.12,160.7873210633947
2021-06-07,6380,39.53,161.39640779155073
2021-06-08,6405,39.96,160.28528528528528
2021-06-09,6465,40.47,159.7479614529281
2021-06-10,6441.5,40.46,159.206623826001
2021-06-11,6422,40.6,158.17733990147784
2021-06-14,6406,40.62,157.70556376169375
2021-06-15,6405,40.33,158.81477808083312
2021-06-16,6409,40.08,159.90518962075848
2021-06-17,6385.5,39.68,160.92489919354838
2021-06-18,6385.5,39.71,160.803324099723
2021-06-22,6258.5,38.75,161.50967741935483
2021-06-23,6315,38.92,162.25590955806783
2021-06-24,6265,38.45,162.93888166449935
2021-06-25,6209,37.51,165.52919221540924
2021-06-28,6160,37.53,164.1353583799627
2021-06-29,6151,37.4,164.46524064171123
2021-06-30,6195.5,37.59,164.81777068369246
2021-07-01,6245,37.54,166.35588705380928
2021-07-02,6245,37.22,167.78613648576035
2021-07-05,6255,37.45,167.02269692923898
2021-07-06,6239,37.02,168.53052404105887
2021-07-07,6241,37.01,168.63009997298028
2021-07-08,6175,36.85,167.57123473541384
2021-07-12,6170,37.1,166.30727762803235
2021-07-13,6200,37.41,165.73108794439992
2021-07-14,6248,37.7,165.72944297082228
2021-07-15,6260,37.55,166.711051930759
2021-07-16,6285,37.79,166.31383964011644
2021-07-19,6380,38.03,167.76229292663686
2021-07-20,6447,38.23,168.63719591943502
2021-07-21,6484,38.39,168.89815056004167
2021-07-22,6530,38.58,169.25868325557283
2021-07-23,6585,38.95,169.06290115532732
2021-07-26,6581,38.6,170.49222797927462
2021-07-27,6571,38.62,170.14500258933197
2021-07-28,6535,38.69,168.90669423623677
2021-07-29,6568,38.68,169.80351602895553
2021-07-30,6600,38.82,170.01545595054097
2021-08-02,6625,39,169.87179487179486
2021-08-03,6632,38.96,170.2258726899384
2021-08-04,6599,38.79,170.12116524877547
2021-08-05,6620,38.7,171.0594315245478
2021-08-06,6551.5,38.4,170.61197916666669
2021-08-09,6523,38.33,170.1800156535351
2021-08-10,6545,38.69,169.16515895580255
2021-08-11,6606,38.7,170.69767441860463
2021-08-12,6636,39.14,169.54522227899847
2021-08-13,6610,38.8,170.36082474226805
2021-08-17,6537,38.4,170.234375
2021-08-18,6582.5,38.25,172.09150326797385
2021-08-19,6595,37.91,173.96465312582433
2021-08-20,6610,37.99,173.99315609370885
2021-08-23,6605,38.75,170.4516129032258
2021-08-24,6735,39.59,170.1187168476888
2021-08-25,6750,39.49,170.9293492023297
2021-08-26,6770,39.3,172.264631043257
2021-08-27,6822,39.6,172.27272727272728
2021-08-30,6865,40.2,170.77114427860695
2021-08-31,6909,40.32,171.35416666666666
2021-09-01,6997,40.68,172.00098328416914
2021-09-02,7080,40.95,172.89377289377288
2021-09-03,7085,40.92,173.1427174975562
2021-09-06,7130,41.39,172.26383184344044
2021-09-07,7104,41.22,172.34352256186318
2021-09-08,7000,40.35,173.4820322180917
2021-09-09,7010,40.1,174.8129675810474
2021-09-10,7020,39.5,177.72151898734177
2021-09-13,7177,41.57,172.6485446235266
2021-09-14,7120,41.1,173.2360097323601
2021-09-15,7172,41.41,173.19488046365615
2021-09-16,7176,41.29,173.7951077742795
2021-09-17,7165,40.85,175.39779681762545
2021-09-20,7065,40.04,176.44855144855146
2021-09-21,7010,39.64,176.84157416750756
2021-09-22,6990,39.4,177.41116751269035
2021-09-23,7035,39.1,179.923273657289
2021-09-24,6945,38.6,179.9222797927461
2021-09-27,7025,39.04,179.94364754098362
2021-09-28,7121,39.55,180.05056890012642
2021-09-29,7205,40.15,179.45205479452056
2021-09-30,7065,40,176.625
2021-10-01,7132,39.99,178.3445861465366
2021-10-04,7060,39.74,177.65475591343733
2021-10-05,7086.5,40,177.1625
2021-10-06,7175,39.58,181.27842344618495
2021-10-07,7151,39.15,182.6564495530013
2021-10-12,7036,38.74,181.62106350025812
2021-10-13,7017,38.11,184.12490160062976
2021-10-14,7092,38.2,185.65445026178008
2021-10-15,7070,37.75,187.28476821192052
2021-10-18,7015,37.4,187.5668449197861
2021-10-19,7077,37.35,189.47791164658634
2021-10-20,7090,37.75,187.81456953642385
2021-10-21,7100,37.65,188.57901726427625
2021-10-22,7120,37.7,188.85941644562334
2021-10-25,7123.5,37.45,190.21361815754338
2021-10-26,7148,37.3,191.6353887399464
2021-10-27,7170,37.01,193.73142393947583
2021-10-28,7167,37,193.7027027027027
2021-10-29,7260,36.58,198.4691088026244
2021-11-01,7355,35.95,204.58970792767732
2021-11-02,7377,35.78,206.17663499161543
2021-11-03,7301,35.7,204.50980392156862
2021-11-04,7386,37,199.6216216216216
2021-11-05,7456,36.33,205.2298375997798
2021-11-08,7486,36.95,202.59810554803786
2021-11-09,7340,36.65,200.27285129604365
2021-11-10,7280,36.6,198.9071038251366
2021-11-11,7410,37.25,198.9261744966443
2021-11-12,7394,37.25,198.49664429530202
2021-11-15,7420,37.55,197.60319573901467
2021-11-16,7384,37,199.56756756756758
2021-11-17,7330,36.39,201.4289640010992
2021-11-18,7255,35.6,203.79213483146066
2021-11-19,7290,35.46,205.58375634517765
2021-11-23,7116,34.59,205.724197745013
2021-11-24,7087,34.58,204.94505494505495
